"Name","Value","DisplayInUI","IsReadOnly","RequiresPhysicalPresence"
"Clear Secure Boot keys","*Disable,Enable","1","0","1"
"Clear TPM","*No,On next boot","1","0","1"
"Custom Keys Image Verification State","*No Custom Keys,Fail,Success","1","1","0"
"Custom Logo","*Not Present,Present","1","1","0"
"Data transfer timeout","100","1","0","0"
"Disable Battery On Next Boot","*Do not disable,Next shut down","1","1","0"
"Disable Charging Port in sleep/off if battery below (%):","10","1","0","0"
"DMA Protection","*Disable,Enable","1","0","0"
"DNS Addresses","","1","0","0"
"DNS Configuration","*Automatic,Manual","1","0","0"
"DriveLock Enabled Drives","","1","1","0"
"Dynamic Runtime Scanning of Boot Block","*Disable,Enable","1","0","0"
"E-label","*Not Present,Present","1","1","0"
"Embedded Controller Firmware Version","34.31.00","1","1","0"
"Embedded LAN controller","Disable,*Enable","1","0","0"
"Enable High Resolution mode when connected to a USB-C DP alt mode dock","*Disable,Enable","1","0","0"
"Enable MS UEFI CA key","*No,Yes","1","0","0"
"Energy Efficient Turbo","Disable,*Enable","1","0","0"
"Enhanced BIOS Authentication Mode","*Disable,Enable","1","0","0"
"Enhanced BIOS Authentication Mode Actions Anti-Replay Counter","0","1","1","0"
"Enhanced BIOS Authentication Mode Local Access Key 1","","1","0","0"
"Enhanced BIOS Authentication Mode Settings Anti-Replay Counter","0","1","1","0"
"Enhanced BIOS Authentication Mode Version","1.01","1","1","0"
"Enhanced HP Firmware Runtime Intrusion Prevention and Detection","*Disable,Enable","1","0","1"
"Extended DHCP Timeout","Disable,*Enable","1","0","0"
"Extended Idle Power States","*Disable,Enable","1","0","0"
"Fan Always on while on AC Power","Disable,*Enable","1","0","0"
"Fast Boot","*Disable,Enable","1","0","0"
"Fast Charge","Disable,*Enable","1","0","0"
"Feature Byte","6S6b7B7M7Q7U7W7m7saBaEapaqatauawbhcAd7dUdXdpdqfAfPgSgkguk8mE.h3","1","1","0"
"Force Check on Reboot","*Disable,Enable","1","0","0"
"Force Default IP Configuration","*Disable,Enable","1","0","0"
"Force HTTP no-cache","Disable,*Enable","1","0","0"
"Force to Run Discrete Only Mode","*Disable,Enable","0","1","0"
"Friday","*Disable,Enable","1","0","0"
"Graphics","UMA Graphics,*Hybrid Graphics","1","0","0"
"HBMA Custom MAC Address","00-00-00-00-00-00","1","0","0"
"HBMA Factory MAC Address","E8-D8-D1-5C-7E-EB","1","1","0"
"HBMA Priority List","USB NIC Dongle:HP External Adapter :0BDA_8153,USB NIC Dongle:HP USB-C Travel Dock :17E9_4352,USB NIC Dongle:HP USB Travel Dock :17E9_4351,USB NIC Dongle:HP 3005pr :17E9_430A,USB NIC Dongle:HP Universal pr :17E9_4327,Thunderbolt Dock:HP Elite Dock :14E4_1682:14E4_1682,Embedded NIC:Intel (vPro) :8086_0D4E:103C_87EC(Disabled),Embedded NIC:Intel (non-vPro) :8086_0D4E:103C_87EC(Disabled)","1","1","0"
"HBMA System MAC Address","E8-D8-D1-5C-7E-EB","1","1","0"
"Headphone Output","Disable,*Enable","1","0","0"
"Host Based MAC Address","Disable,*System,Custom","1","0","0"
"HP Application Driver","Disable,*Enable","1","0","0"
"HP Sure Run Current State","Permanently Disabled","1","1","0"
"HP will balance your battery health and battery duration (read-only)","Enabled,*Enabled & Activated","1","1","0"
"HP_Disk0MapForUefiBootOrder","PciRoot(0x0)/Pci(0x1B,0x0)/Pci(0x0,0x0)/NVMe(0x1,<REDACTED-NVME-EUI>)/HD(1,GPT,<REDACTED-GPT-GUID>,0x28,0x400000)/EFI\OC\OpenCore.efi
	PciRoot(0x0)/Pci(0x14,0x0)
	PciRoot(0x0)/Pci(0x1B,0x0)/Pci(0x0,0x0)/NVMe(0x1,<REDACTED-NVME-EUI>)/HD(1,GPT,<REDACTED-GPT-GUID>,0x28,0x400000)/EFI\OC\OpenCore.efi","1","1","0"
"Hyperthreading","Disable,*Enable","1","0","0"
"Import Custom Secure Boot keys","*Do Nothing,On next boot","1","0","1"
"Integrated Camera","Disable,*Enable","1","0","0"
"Integrated MAC Address 1","B0-22-7A-F2-C3-95","1","1","0"
"Intel Dynamic Tuning","Disable,*Enable","1","0","0"
"Intel Software Guard Extensions (SGX)","*Disable,Enable,Software control","1","0","1"
"Internal Speakers","Disable,*Enable","1","0","0"
"IPv4 Address","","1","0","0"
"IPv4 Configuration","*Automatic,Manual","1","0","0"
"IPv4 Gateway","","1","0","0"
"IPv4 Subnet Mask","","1","0","0"
"IPv6 during UEFI Boot","Disable,*Enable","1","0","0"
"LAN / WLAN Auto Switching","*Disable,Enable","1","0","0"
"Launch Hotkeys without Fn Keypress","Disable,Enable,*Auto","1","0","0"
"Left USB Ports","Disable,*Enable","1","0","0"
"Lock BIOS Version","*Disable,Enable","1","0","0"
"Lock Wireless Button","Disable,*Enable","1","0","0"
"M.2 SSD 1","Disable,*Enable","1","0","0"
"M.2 SSD 2","Disable,*Enable","1","0","0"
"Manufacturing Programming Mode","Unlock,*Lock","1","0","0"
"ME Firmware Mode","Enable","1","1","0"
"ME Firmware Version","14.1.79.2540","1","1","0"
"Memory Size","16384 MB","1","1","0"
"Microphone","Disable,*Enable","1","0","0"
"Microsoft Option ROM UEFI CA 2023","*Disable,Enable","1","0","0"
"Microsoft UEFI CA 2023","*Disable,Enable","1","0","0"
"Minimum BIOS Version","00.00.00","1","0","0"
"Modern Standby","Disable,*Enable","0","1","0"
"Monday","*Disable,Enable","1","0","0"
"MS Digital Marker","010000000000000001000000000000001D000000485859464E2D54384248592D56503951442D4A594336422D4646395632","1","0","0"
"Native OS Firmware Update Service","Disable,*Enable","1","0","0"
"Network (PXE) Boot","*Disable,Enable","1","0","0"
"Network Boot TFTP Window Size","4","1","0","0"
"NFC","Disable,*Enable","0","1","0"
"NumLock on at boot","Disable,*Enable","1","0","0"
"OS Recovery","Disable,*Enable","1","0","0"
"OS Recovery Agent Provisioning Version","0","1","1","0"
"OS Recovery Agent Public Key","v02IkAmb7qkyNbIVBvaz/UfnocR4c37F5wV5eTIODxqML61JVP6YRJ/yWRV/I5VqqWvyaRvR2Eip22LGkJX4SjR3HladKeiAGFzKIUxLGQk3t4zPqCn2bR7CP3kjC4NZj3l+DK5sMGGNxa+1D0wE8J++ma+5I7VcLHBdffjRw9LeCoiwL11cC2ud4JfAPV90QWbOvOmYq11WSRcyNb36zv9mtCflBNn4fYTppwuQzlfVBZaZIDSLXugPP6PKc+sxnGDKwAxaRd+Kj2Aw0tLY9IpeapJzJa4Gpdbi2Y1PLskFtxex7X8bjjVBF/0dqRs48FGF0bVqeRyhT1ExoHGPuw==","1","1","0"
"OS Recovery Agent URL","http://ftp.hp.com/pub/pcbios/CPR","1","1","0"
"OS Recovery Agent Username","","1","1","0"
"OS Recovery Image Provisioning Version","0","1","1","0"
"OS Recovery Image Public Key","v02IkAmb7qkyNbIVBvaz/UfnocR4c37F5wV5eTIODxqML61JVP6YRJ/yWRV/I5VqqWvyaRvR2Eip22LGkJX4SjR3HladKeiAGFzKIUxLGQk3t4zPqCn2bR7CP3kjC4NZj3l+DK5sMGGNxa+1D0wE8J++ma+5I7VcLHBdffjRw9LeCoiwL11cC2ud4JfAPV90QWbOvOmYq11WSRcyNb36zv9mtCflBNn4fYTppwuQzlfVBZaZIDSLXugPP6PKc+sxnGDKwAxaRd+Kj2Aw0tLY9IpeapJzJa4Gpdbi2Y1PLskFtxex7X8bjjVBF/0dqRs48FGF0bVqeRyhT1ExoHGPuw==","1","1","0"
"OS Recovery Image URL","","1","1","0"
"OS Recovery Image Username","","1","1","0"
"Ownership Tag","","1","0","0"
"Password Minimum Length","8","1","0","0"
"Permanent Disable Absolute Persistence Module Set Once","*No,Yes","1","0","0"
"Physical Presence Interface","*Disable,Enable","1","0","1"
"Power button delay to avoid accidental activation for system sleep or power down","Disable,*Enable","1","0","0"
"Power Control","Disable,*Enable","1","0","0"
"Power On When AC Detected","*Disable,Enable","1","0","0"
"Power On When Lid is Opened","Disable,*Enable","1","0","0"
"Power-On Password","","1","0","1"
"Pre-boot HBMA Support","Disable,*Enable","1","1","0"
"Preboot Wi-Fi Auto Connect Profile Priority","Preboot Wi-Fi Profile 1,Preboot Wi-Fi Profile 2,Preboot Wi-Fi Profile 3,Preboot Wi-Fi Profile 4,Preboot Wi-Fi Profile 5,Preboot Wi-Fi Profile 6","1","0","0"
"Preboot Wi-Fi Master Auto Connect","Disable,*Enable","1","0","0"
"Preboot Wi-Fi Profile 1","{""SSID"":""JustThink_5G"",""Type"":""Personal"",""Password"":""******"",""AutoConnect"":""Disable"",""ScanAnyway"":""Disable""}","1","0","0"
"Preboot Wi-Fi Profile 2","{""SSID"":null,""Type"":null}","1","0","0"
"Preboot Wi-Fi Profile 3","{""SSID"":null,""Type"":null}","1","0","0"
"Preboot Wi-Fi Profile 4","{""SSID"":null,""Type"":null}","1","0","0"
"Preboot Wi-Fi Profile 5","{""SSID"":null,""Type"":null}","1","0","0"
"Preboot Wi-Fi Profile 6","{""SSID"":null,""Type"":null}","1","0","0"
"Preboot Wi-Fi Profile Set Status","","1","1","0"
"Preboot Wi-Fi Timeout","60","1","0","0"
"Primary Battery Serial Number","01171 2020/11/21","1","1","0"
"Processor 1 Bottom-Slot 1(left)","8 GB Samsung","1","1","0"
"Processor 1 Bottom-Slot 2(right)","8 GB Samsung","1","1","0"
"Processor 1 Cache Size (L1/L2/L3)","384 KB / 1536 KB / 12 MB","1","1","0"
"Processor 1 Cores","6","1","1","0"
"Processor 1 MicroCode Revision","100","1","1","0"
"Processor 1 Speed","2475 MHz","1","1","0"
"Processor 1 Stepping","2","1","1","0"
"Processor 1 Type","Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz","1","1","0"
"Product Family","103C_5336AN HP ZBook","1","1","0"
"Product Name","HP ZBook Power G7 Mobile Workstation","1","1","0"
"Prompt before Boot Failure Recovery","Disable,*Enable","1","0","0"
"Prompt for Admin authentication on Capsule Update","*Disable,Enable","1","0","0"
"Prompt for Admin authentication on F11 (System Recovery)","*Disable,Enable","1","0","0"
"Prompt for Admin authentication on F12 (Network Boot)","*Disable,Enable","1","0","0"
"Prompt for Admin authentication on F9 (Boot Menu)","*Disable,Enable","1","0","0"
"Prompt on Battery Errors","Disable,*Enable","1","0","0"
"Prompt on Fixed Storage Change","*Disable,Enable","1","0","0"
"Prompt on Memory Size Change","Disable,*Enable","1","0","0"
"Prompt on Network Controller Configuration Change","*Disable,Enable","1","0","0"
"Proxy Address","","1","0","0"
"Ready BIOS for Device Guard Use","*Do Nothing,Configure on Next Boot,Clear Configuration on Next Boot","1","0","0"
"Ready to disable MS UEFI CA Key","Not Ready,*Ready","1","1","0"
"Recover OS after Boot Failure","Disable,*Enable","1","0","0"
"Recover OS from Network","Disable,*Enable","1","0","0"
"Reference Code Revision","9.0.C0.20","1","1","0"
"Remote HP PC Hardware Diagnostics Custom Client Download Url","","1","0","0"
"Remote HP PC Hardware Diagnostics Custom Client Upload Url","","1","0","0"
"Remote HP PC Hardware Diagnostics Execute On Next Boot","*Disable,Enable","1","0","0"
"Remote HP PC Hardware Diagnostics Last Execution Status","0","1","0","0"
"Remote HP PC Hardware Diagnostics Last Execution Time Stamp","","1","1","0"
"Remote HP PC Hardware Diagnostics Scheduled Execution Enabled","*Disable,Enable","1","0","0"
"Remote HP PC Hardware Diagnostics Scheduled Execution Frequency","Daily,*Weekly,Monthly","1","0","0"
"Remote HP PC Hardware Diagnostics Upload Server Password","","1","0","0"
"Remote HP PC Hardware Diagnostics Upload Server Username","","1","0","0"
"Remote HP PC Hardware Diagnostics Use Custom Download Url","*Disable,Enable","1","0","0"
"Require BIOS PW to change TBT SL","Disable,*Enable","1","0","0"
"Reset Secure Boot keys to factory defaults","*Disable,Enable","1","0","1"
"Restrict USB Devices","*Allow all USB Devices,Allow only keyboard and mouse,Allow all but storage devices and hubs","1","0","0"
"Reuse Embedded LAN Address","*Disable,Enable","1","0","0"
"Right USB Port 1","Disable,*Enable","1","0","0"
"Right USB Port 2","Disable,*Enable","1","0","0"
"Right USB Ports","Disable,*Enable","1","0","0"
"Runtime Power Management","Disable,*Enable","1","0","0"
"Saturday","*Disable,Enable","1","0","0"
"Save Custom Defaults","*Do not Save,Save","1","0","0"
"Save/Restore GPT of System Hard Drive","*Disabled,Enabled","1","0","0"
"Secure Boot","*Disable,Enable","1","0","1"
"Secure Erase Completion Date","","1","1","0"
"Secure Erase Completion Status","","1","1","0"
"Secure Erase Hard Disk Model Number","","1","1","0"
"Secure Erase Hard Disk Serial Number","","1","1","0"
"Secure Platform Management Counter","0","1","1","0"
"Secure Platform Management Current State","Not provisioned","1","1","0"
"Secure Platform Management Key Endorsement Certificate","","1","0","1"
"Secure Platform Management Key Endorsement Key","","1","1","0"
"Secure Platform Management Signing Key","","1","0","0"
"Secure Platform Management Usage Bitmask","0x0000","1","1","0"
"Secure Platform Management Version","1.00","1","1","0"
"Select Keyboard Layout","*English,Deutsch,Espanol,Italiano,Francais,Japanese,Portugues,Dansk,Svenska,Nederlands,Norsk,Suomi,Simplified Chinese,Traditional Chinese,Russian","1","0","0"
"Select Language","*English,Deutsch,Espanol,Italiano,Francais,Japanese,Portugues,Dansk,Svenska,Nederlands,Norsk,Suomi,Simplified Chinese,Traditional Chinese,Russian","1","0","0"
"Serial Number","<REDACTED-SERIAL>","1","1","0"
"Setup Password","","1","0","1"
"Single NIC Operation (Disable All Other NICs when HBMA is active on one NIC)","*Disable,Enable","1","1","0"
"SKU Number","10J83AV","1","1","0"
"Special Keys mapped to Fn + keypress","Disable,*Enable","1","0","0"
"Startup Delay (sec.)","*0,5,10,15,20,25,30,35,40,45,50,55,60","1","0","0"
"Storage Devices","WD Blue SN570 1TB SSD-2147CE451612 (1 TB)","1","1","0"
"Sunday","*Disable,Enable","1","0","0"
"Sure Start BIOS Settings Protection","*Disable,Enable","1","0","1"
"Sure Start Secure Boot Keys Protection","*Disable,Enable","1","0","1"
"Sure Start Security Event Boot Notification","Time out after 15 seconds,*Require Acknowledgment","1","0","0"
"Sure Start Security Event Policy","Log Event Only,*Log Event and notify user,Log Event and power off system","1","0","0"
"SureStart Production Mode","Disable,*Enable","1","1","0"
"Swap Fn and Ctrl (Keys)","*Disable,Enable","1","0","0"
"System BIOS Version","T75 Ver. 01.24.02  05/11/2026","1","1","0"
"System Board CT Number","<REDACTED-BOARD-CT>","1","1","0"
"System Board ID","87EC","1","1","0"
"System Management Command","Disable,*Enable","1","0","0"
"Thunderbolt Controller Version","62.0.1.2.1","1","1","0"
"Thunderbolt Mode","Disable,*Enable","1","0","0"
"Thunderbolt Security Level","*PCIe and DisplayPort - User Authorization,PCIe and DisplayPort - Secure Connect,DisplayPort and USB,Daisy Chaining Disabled","1","0","0"
"Thunderbolt Type-C Ports","Disable,*Enable","1","0","0"
"Thursday","*Disable,Enable","1","0","0"
"Touch Controller Firmware","","0","1","0"
"TPM Activation Policy","F1 to Boot,*Allow user to reject,No prompts","1","0","0"
"TPM Device","Hidden,*Available","1","0","1"
"TPM Specification Version","2.0","1","1","0"
"TPM State","*Disable,Enable","1","0","1"
"Tuesday","*Disable,Enable","1","0","0"
"Turbo-boost","Disable,*Enable","1","0","0"
"UEFI Boot Order","HDD:M.2:1,HDD:USB:1,HDD:M.2:1","1","0","0"
"Universally Unique Identifier (UUID)","<REDACTED-UUID>","1","1","0"
"Update Address","","1","0","0"
"Update BIOS via Network","Disable,*Enable","1","0","0"
"Update Source","*HP,Custom","1","0","0"
"USB Legacy Port Charging","Disable,*Enable","1","0","0"
"USB Storage Boot","Disable,*Enable","1","0","0"
"USB Type-C Connector System Software Interface (UCSI)","Disable,*Enable","1","0","0"
"USB Type-C Controller(s) Firmware Version:","CCG5 : 0.7.0","1","1","0"
"Use Proxy","*Disable,Enable","1","0","0"
"UUID (standard format)","<REDACTED-UUID>","1","1","0"
"Verify Boot Block on every boot","*Disable,Enable","1","0","0"
"Video BIOS Version","Intel(R) GOP Driver [9.0.1107]","1","1","0"
"Video Memory Size","32 MB,64 MB,128 MB,256 MB,*512 MB","1","0","0"
"Virtualization Technology (VTx)","Disable,*Enable","1","0","0"
"Virtualization Technology for Directed I/O (VTd)","Disable,*Enable","1","0","0"
"Wake On LAN","*Disabled,Boot to Network,Boot to Hard Drive,Boot to Normal Boot Order","1","0","0"
"Wake on LAN on DC mode","*Disable,Enable","1","0","0"
"Wake on LAN Power-on Password Policy","Bypass Password,*Require Password","1","0","0"
"Wednesday","*Disable,Enable","1","0","0"
"Windows HBMA Support","Disable,*Enable","1","1","0"
"Windows UEFI CA 2023","*Disable,Enable","1","0","0"
"Wireless Network Device (WLAN)","Disable,*Enable","1","0","0"
